file	size_bytes	sha256	completed_at
config.json	1724	52b5a1aa87606cb5be4f3158d706594edb1c4ce97ce6b1cd6079f15df075d7f5	2026-06-24T20:35:03Z
merge_info.json	251	92842fe695107d351b0f09485d234d0a20bbd30932c5a535d4cc166384991dbd	2026-06-24T20:35:03Z
adapter_config.json	1107	21bd71b96040d7fe6e184315c1a565fa60d68268ab857cf893426d9617d2f5ec	2026-06-24T20:35:03Z
generation_config.json	170	5fccff80f55a4d455bbe516bdd552edf3e9623df95e99fbf2a3c3389fdf91af0	2026-06-24T20:35:03Z
model.safetensors.index.json	2733424	0e4b507c123b4a934c4fa68e1086a950f518596bc0103007a07e6e860bedb868	2026-06-24T20:35:03Z
model-00002-of-00047.safetensors	6435193700	15327978a9447545ac82a30c86470c19b73190d00c55f0983530104e71ea28b5	2026-06-24T20:35:16Z
model-00001-of-00047.safetensors	6434269642	92c910649e1a9f949e1cd383604463b7494cfc3c9f3db592776208d4f2627648	2026-06-24T20:35:16Z
model-00005-of-00047.safetensors	6438374412	0967432c484dfd5f6dafe33bdc83165f3d96ea9a1b2357ec774ec259d7c4e874	2026-06-24T20:35:16Z
model-00003-of-00047.safetensors	6439924940	66b0883de280854a22084bdeeeb1123ee588bbaa4eee2de17cb56236d7827164	2026-06-24T20:35:54Z
model-00004-of-00047.safetensors	6442164748	4d61766cd895b3242ba47df5a9cd35ebe1666053b7a1c04441304751c80e8e70	2026-06-24T20:36:05Z
model-00007-of-00047.safetensors	6438374412	7111a94b0417d1c82efcecbf7484db96e1d80a1beff99ee9606b96d2f146bdf7	2026-06-24T20:37:11Z
model-00011-of-00047.safetensors	6438374412	1aeac8a161add7a7a5da7445b76650aa85de72d009bc1ee165f4d059d3084cb2	2026-06-24T20:41:44Z
model-00014-of-00047.safetensors	6439924556	73bb6e74e8bebb608308d0b6121d14e5bd0b1257e5f4859aca99d9f9288ea121	2026-06-24T20:43:24Z
model-00008-of-00047.safetensors	6442164748	8cecf46af19e648ce1138257939f92949b2effd773c0d843d64c4755d43741eb	2026-06-24T20:44:05Z
model-00006-of-00047.safetensors	6442164756	dd10d5578091b4111f2195b3822c149c45a75e8d04c820f8318ee7d20cc14ab3	2026-06-24T20:44:34Z
model-00009-of-00047.safetensors	6438374412	22ac4f8c44ad6aff0175f8e0212a2ccf013fa0b8d5bc2f149ba59e2353d36390	2026-06-24T20:45:04Z
model-00010-of-00047.safetensors	6442164748	5c7c96e63237d8300217161ef58ecf53bfeb2ae413e87dffaec14e6a945e6098	2026-06-24T20:45:46Z
model-00013-of-00047.safetensors	6438374324	4e80d821a0bf4308781296c38332773ae75b411979473c8fc5614cc23b1d832f	2026-06-24T20:45:57Z
model-00012-of-00047.safetensors	6442164748	ca901fb0dac8ae4265f25729020cbadd221dc97aaeca9c1821f43800726e7faa	2026-06-24T20:46:26Z
model-00018-of-00047.safetensors	6442164796	d38c0c29c1df3bb4486a0781040dd154628e145b98a3e4a47a7870f5d26a23cc	2026-06-24T20:50:24Z
model-00020-of-00047.safetensors	6442164780	f045efbec550105fe1aabc313113f1cc679c94157a4df3b35e521add4fe0ce38	2026-06-24T20:51:22Z
model-00016-of-00047.safetensors	6434156704	bec44db89b446ba1f29753c8d04614b8156021a20083ac6bd5e9bc845c0a5509	2026-06-24T20:51:52Z
model-00022-of-00047.safetensors	6442164780	8a5876c409deed8747a54bf41617a6b42a0db81eaa14279e87066c3f63d0e1ca	2026-06-24T20:52:08Z
model-00015-of-00047.safetensors	6383436220	387be67d8b132b5dacb8cbf77cde8ca33c839503b86fe969be910f802f43d209	2026-06-24T20:52:33Z
